  year          age             female            male           total
  2000           0              8055.74        11338.26        19394.00
  2000         1-4              2208.85         2901.36         5110.21
  2000         5-9              1363.00         2395.26         3758.26
  2000        10-14             1766.89         3486.05         5252.94
  2000        15-19             4768.50        13080.28        17848.78
  2000        20-24             6131.50        27234.22        33365.72
  2000        25-29             6845.07        31226.35        38071.42
  2000        30-34             8227.10        33496.61        41723.71
  2000        35-39            13641.04        52332.21        65973.25
  2000        40-44            21592.56        77231.64        98824.20
  2000        45-49            30071.23        96049.10       126120.33
  2000        50-54            36063.42       100390.05       136453.47
  2000        55-59            34628.29        78751.88       113380.17
  2000        60-64            81592.71       162667.32       244260.03
  2000        65-69            94394.93       137514.86       231909.79
  2000        70-74           167404.73       167178.62       334583.35
  2000        75-79           163031.10        81473.78       244504.88
  2000        80-84           134002.16        48277.58       182279.74
  2000        85-89           149252.75        38367.84       187620.59
  2000        90-94            64293.61        12205.25        76498.86
  2000        95-99            14038.94         1938.59        15977.53
  2000       100-104            2072.98          228.67         2301.65
  2000       105-109             107.55            9.26          116.81
  2000       110+                  2.30            0.00            2.30
