  year          age             female            male           total
  2000           0              8055.74        11338.26        19394.00
  2000           1               992.18         1226.88         2219.06
  2000           2               476.04          642.17         1118.21
  2000           3               368.81          535.31          904.12
  2000           4               371.82          497.00          868.82
  2000           5               311.69          431.47          743.16
  2000           6               270.59          440.54          711.13
  2000           7               239.53          460.70          700.23
  2000           8               239.53          487.92          727.45
  2000           9               301.66          574.63          876.29
  2000          10               317.70          583.69          901.39
  2000          11               287.63          576.64          864.27
  2000          12               294.65          659.30          953.95
  2000          13               383.84          762.14         1145.98
  2000          14               483.07          904.28         1387.35
  2000          15               663.46         1270.22         1933.68
  2000          16               846.87         1900.29         2747.16
  2000          17               961.11         2615.05         3576.16
  2000          18              1122.47         3155.40         4277.87
  2000          19              1174.59         4139.32         5313.91
  2000          20              1161.55         4744.19         5905.74
  2000          21              1285.83         5142.39         6428.22
  2000          22              1250.76         5585.96         6836.72
  2000          23              1196.64         5793.64         6990.28
  2000          24              1236.72         5968.04         7204.76
  2000          25              1344.96         6463.02         7807.98
  2000          26              1293.85         6150.51         7444.36
  2000          27              1368.01         6133.37         7501.38
  2000          28              1387.05         6345.08         7732.13
  2000          29              1451.20         6134.37         7585.57
  2000          30              1583.48         6514.43         8097.91
  2000          31              1515.33         6158.57         7673.90
  2000          32              1511.32         6525.52         8036.84
  2000          33              1743.84         6918.69         8662.53
  2000          34              1873.13         7379.40         9252.53
  2000          35              2095.61         8357.26        10452.87
  2000          36              2318.11         9103.27        11421.38
  2000          37              2699.95        10421.88        13121.83
  2000          38              3068.76        11655.82        14724.58
  2000          39              3458.61        12793.98        16252.59
  2000          40              3947.70        15024.94        18972.64
  2000          41              4085.00        14664.03        18749.03
  2000          42              4219.29        15259.82        19479.11
  2000          43              4490.89        15767.92        20258.81
  2000          44              4849.68        16514.93        21364.61
  2000          45              5531.18        19322.53        24853.71
  2000          46              5613.36        18308.36        23921.72
  2000          47              5801.78        18561.40        24363.18
  2000          48              6380.05        20138.09        26518.14
  2000          49              6744.86        19718.72        26463.58
  2000          50              7769.11        23294.50        31063.61
  2000          51              7940.49        22425.50        30365.99
  2000          52              6799.98        18496.89        25296.87
  2000          53              7934.47        21170.40        29104.87
  2000          54              5619.37        15002.76        20622.13
  2000          55              4790.55        11833.25        16623.80
  2000          56              4080.99         9777.70        13858.69
  2000          57              4701.36        10945.10        15646.46
  2000          58              9586.12        21004.06        30590.18
  2000          59             11469.27        25191.77        36661.04
  2000          60             13753.29        31399.74        45153.03
  2000          61             16481.30        34946.28        51427.58
  2000          62             16837.08        33896.84        50733.92
  2000          63             17988.62        33161.92        51150.54
  2000          64             16532.42        29262.54        45794.96
  2000          65             15861.94        26112.18        41974.12
  2000          66             14540.03        22855.97        37396.00
  2000          67             17844.31        26009.35        43853.66
  2000          68             21667.73        29983.33        51651.06
  2000          69             24480.92        32554.03        57034.95
  2000          70             28733.29        35732.62        64465.91
  2000          71             31839.13        35692.28        67531.41
  2000          72             34543.09        36685.28        71228.37
  2000          73             35487.16        32185.06        67672.22
  2000          74             36802.06        26883.38        63685.44
  2000          75             36873.22        22421.47        59294.69
  2000          76             37033.57        19692.51        56726.08
  2000          77             32414.40        14691.25        47105.65
  2000          78             29605.21        13032.90        42638.11
  2000          79             27104.70        11635.65        38740.35
  2000          80             26455.27        10884.61        37339.88
  2000          81             30456.09        11638.68        42094.77
  2000          82             26349.04         9614.38        35963.42
  2000          83             23055.78         7766.51        30822.29
  2000          84             27685.98         8373.40        36059.38
  2000          85             33405.58         9462.17        42867.75
  2000          86             34101.11         9195.01        43296.12
  2000          87             30662.54         7831.04        38493.58
  2000          88             27530.64         6589.04        34119.68
  2000          89             23552.88         5290.58        28843.46
  2000          90             19770.55         4036.49        23807.04
  2000          91             15292.68         3083.83        18376.51
  2000          92             12500.54         2318.66        14819.20
  2000          93              9728.42         1660.37        11388.79
  2000          94              7001.42         1105.90         8107.32
  2000          95              5185.42          782.29         5967.71
  2000          96              3616.97          490.95         4107.92
  2000          97              2507.53          340.74         2848.27
  2000          98              1632.60          200.61         1833.21
  2000          99              1096.42          124.00         1220.42
  2000         100               947.11          108.22         1055.33
  2000         101               532.80           60.09          592.89
  2000         102               305.69           31.78          337.47
  2000         103               184.06           18.38          202.44
  2000         104               103.32           10.20          113.52
  2000         105                55.41            5.13           60.54
  2000         106                28.03            2.52           30.55
  2000         107                13.99            1.25           15.24
  2000         108                 6.84            0.36            7.20
  2000         109                 3.28            0.00            3.28
  2000         110+                2.30            0.00            2.30
