  year          age             female            male           total
  2000           0            591502.83       626762.42      1218265.25
  2000         1-4           2481597.35      2609948.47      5091545.82
  2000         5-9           3883840.00      4074136.83      7957976.83
  2000        10-14          5816002.62      6048829.30     11864831.92
  2000        15-19          5957824.59      6161969.30     12119793.89
  2000        20-24          5416335.24      5506386.62     10922721.86
  2000        25-29          5099753.07      5206361.03     10306114.10
  2000        30-34          4751434.30      4767105.73      9518540.02
  2000        35-39          5851718.08      5725670.50     11577388.58
  2000        40-44          6445207.29      6113128.93     12558336.22
  2000        45-49          5918427.50      5380897.14     11299324.65
  2000        50-54          4749875.82      4113360.15      8863235.97
  2000        55-59          3042129.65      2360895.74      5403025.39
  2000        60-64          5159844.72      3655293.72      8815138.44
  2000        65-69          3686679.88      2311041.39      5997721.27
  2000        70-74          4066260.63      2064379.70      6130640.33
  2000        75-79          2417199.70       767025.84      3184225.55
  2000        80-84          1168010.47       304400.78      1472411.25
  2000        85-89           781471.55       164278.46       945750.02
  2000        90-94           215956.47        36485.11       252441.58
  2000        95-99            34186.30         4611.83        38798.12
  2000       100-104            3434.89          422.23         3857.13
  2000       105-109             133.74           12.23          145.97
  2000       110+                  1.19            0.00            1.19
