  year          age             female            male           total
  2000           0            591502.83       626762.42      1218265.25
  2000           1            603567.38       637116.49      1240683.87
  2000           2            612048.90       643830.07      1255878.97
  2000           3            622098.39       653693.56      1275791.95
  2000           4            643882.68       675308.34      1319191.02
  2000           5            680496.39       713033.32      1393529.71
  2000           6            690022.90       724226.34      1414249.24
  2000           7            736061.17       772495.21      1508556.38
  2000           8            838098.27       879533.16      1717631.43
  2000           9            939161.27       984848.80      1924010.07
  2000          10           1031048.99      1079580.65      2110629.64
  2000          11           1112714.63      1160028.20      2272742.83
  2000          12           1199799.25      1246553.60      2446352.85
  2000          13           1256543.91      1304141.55      2560685.46
  2000          14           1215895.84      1258525.30      2474421.14
  2000          15           1216339.80      1258336.82      2474676.63
  2000          16           1234999.19      1281381.13      2516380.32
  2000          17           1229294.70      1278833.49      2508128.19
  2000          18           1150703.76      1191917.27      2342621.03
  2000          19           1126487.13      1151500.59      2277987.72
  2000          20           1111258.99      1132416.72      2243675.71
  2000          21           1083811.07      1104323.18      2188134.24
  2000          22           1078926.96      1095163.62      2174090.58
  2000          23           1072248.48      1087666.13      2159914.62
  2000          24           1070089.74      1086816.97      2156906.70
  2000          25           1046290.26      1062059.60      2108349.86
  2000          26           1022812.77      1038712.80      2061525.57
  2000          27           1022902.55      1041923.70      2064826.25
  2000          28           1019684.75      1044904.36      2064589.10
  2000          29            988062.74      1018760.58      2006823.32
  2000          30            962873.09       989403.31      1952276.40
  2000          31            925033.18       933804.32      1858837.51
  2000          32            924095.17       922050.77      1846145.94
  2000          33            954050.58       945992.20      1900042.78
  2000          34            985382.27       975855.13      1961237.40
  2000          35           1018372.81      1004846.42      2023219.23
  2000          36           1098188.96      1079571.65      2177760.61
  2000          37           1183768.27      1158931.22      2342699.50
  2000          38           1252645.49      1219268.21      2471913.71
  2000          39           1298742.54      1263053.00      2561795.54
  2000          40           1320727.34      1274953.97      2595681.30
  2000          41           1301171.44      1239477.06      2540648.51
  2000          42           1286695.71      1220432.02      2507127.73
  2000          43           1257236.35      1185182.45      2442418.80
  2000          44           1279376.46      1193083.42      2472459.88
  2000          45           1253694.01      1156258.84      2409952.85
  2000          46           1205018.49      1102046.91      2307065.39
  2000          47           1168723.56      1062050.94      2230774.51
  2000          48           1165572.45      1050154.76      2215727.22
  2000          49           1125418.99      1010385.69      2135804.68
  2000          50           1137707.89      1011019.95      2148727.84
  2000          51           1058957.99       926571.02      1985529.01
  2000          52            954122.42       825895.05      1780017.47
  2000          53            906218.44       770720.36      1676938.80
  2000          54            692869.09       579153.77      1272022.86
  2000          55            465408.24       383745.87       849154.11
  2000          56            390455.76       315995.18       706450.94
  2000          57            483260.91       376402.94       859663.84
  2000          58            755043.56       573356.72      1328400.28
  2000          59            947961.19       711395.03      1659356.22
  2000          60           1041472.35       765750.60      1807222.95
  2000          61           1111129.19       794818.48      1905947.67
  2000          62           1118635.20       788965.34      1907600.54
  2000          63           1020800.68       711780.93      1732581.60
  2000          64            867807.30       593978.37      1461785.67
  2000          65            731164.61       489253.16      1220417.77
  2000          66            644611.15       416106.47      1060717.62
  2000          67            715076.52       444231.53      1159308.05
  2000          68            778054.62       475162.99      1253217.61
  2000          69            817772.98       486287.24      1304060.23
  2000          70            858693.13       490277.27      1348970.40
  2000          71            858761.41       465808.66      1324570.07
  2000          72            840110.83       435658.27      1275769.10
  2000          73            784798.54       375272.47      1160071.01
  2000          74            723896.72       297363.03      1021259.75
  2000          75            653253.83       231823.74       885077.57
  2000          76            578808.88       184781.12       763590.00
  2000          77            481416.11       141739.19       623155.29
  2000          78            386149.88       113328.27       499478.15
  2000          79            317571.01        95353.53       412924.54
  2000          80            274851.74        76984.48       351836.21
  2000          81            283347.21        76808.54       360155.75
  2000          82            235123.72        61384.83       296508.55
  2000          83            180511.69        44426.89       224938.58
  2000          84            194176.11        44796.05       238972.15
  2000          85            207720.93        45755.94       253476.87
  2000          86            189464.04        40802.76       230266.80
  2000          87            159073.97        33174.78       192248.75
  2000          88            126551.09        25661.62       152212.71
  2000          89             98661.53        18883.36       117544.89
  2000          90             75571.06        13530.97        89102.03
  2000          91             52943.81         9173.39        62117.20
  2000          92             39749.07         6498.19        46247.26
  2000          93             28282.68         4414.27        32696.95
  2000          94             19409.85         2868.30        22278.15
  2000          95             13202.34         1828.63        15030.97
  2000          96              8824.46         1200.43        10024.89
  2000          97              5905.94          810.02         6715.96
  2000          98              3724.35          466.10         4190.45
  2000          99              2529.21          306.65         2835.85
  2000         100              1664.74          208.03         1872.77
  2000         101               878.74          110.82          989.56
  2000         102               477.11           56.19          533.30
  2000         103               270.68           30.93          301.60
  2000         104               143.63           16.26          159.89
  2000         105                72.62            7.57           80.19
  2000         106                34.61            3.22           37.82
  2000         107                16.28            1.24           17.52
  2000         108                 7.27            0.20            7.47
  2000         109                 2.98            0.00            2.98
  2000         110+                1.19            0.00            1.19
