  year          age         mx       qx     ax     lx       dx      Lx       Tx     ex
 2000           0      0.01592  0.01570  0.12  100000    1570   98613  6529246  65.29
  2000           1      0.00179  0.00179  0.50   98430     176   98342  6430633  65.33
  2000           2      0.00089  0.00089  0.50   98254      87   98211  6332291  64.45
  2000           3      0.00071  0.00071  0.50   98167      70   98132  6234081  63.50
  2000           4      0.00066  0.00066  0.50   98097      65   98065  6135949  62.55
  2000           5      0.00053  0.00053  0.50   98033      52   98007  6037884  61.59
  2000           6      0.00050  0.00050  0.50   97980      49   97956  5939877  60.62
  2000           7      0.00046  0.00046  0.50   97931      45   97908  5841921  59.65
  2000           8      0.00042  0.00042  0.50   97886      41   97865  5744013  58.68
  2000           9      0.00046  0.00046  0.50   97844      45   97822  5646148  57.71
  2000          10      0.00043  0.00043  0.50   97800      42   97779  5548326  56.73
  2000          11      0.00038  0.00038  0.50   97758      37   97739  5450547  55.76
  2000          12      0.00039  0.00039  0.50   97721      38   97702  5352808  54.78
  2000          13      0.00045  0.00045  0.50   97683      44   97661  5255106  53.80
  2000          14      0.00056  0.00056  0.50   97639      55   97612  5157445  52.82
  2000          15      0.00078  0.00078  0.50   97584      76   97546  5059834  51.85
  2000          16      0.00109  0.00109  0.50   97508     106   97455  4962287  50.89
  2000          17      0.00143  0.00142  0.50   97402     139   97332  4864833  49.95
  2000          18      0.00183  0.00182  0.50   97263     177   97174  4767500  49.02
  2000          19      0.00233  0.00233  0.50   97085     226   96972  4670326  48.11
  2000          20      0.00263  0.00263  0.50   96859     255   96732  4573354  47.22
  2000          21      0.00294  0.00293  0.50   96605     283   96463  4476622  46.34
  2000          22      0.00314  0.00314  0.50   96321     302   96170  4380159  45.47
  2000          23      0.00324  0.00323  0.50   96019     310   95864  4283989  44.62
  2000          24      0.00334  0.00333  0.50   95709     319   95549  4188126  43.76
  2000          25      0.00370  0.00370  0.50   95389     353   95213  4092577  42.90
  2000          26      0.00361  0.00360  0.50   95037     343   94865  3997364  42.06
  2000          27      0.00363  0.00363  0.50   94694     343   94522  3902498  41.21
  2000          28      0.00375  0.00374  0.50   94351     353   94174  3807976  40.36
  2000          29      0.00378  0.00377  0.50   93998     355   93821  3713801  39.51
  2000          30      0.00415  0.00414  0.50   93643     388   93450  3619980  38.66
  2000          31      0.00413  0.00412  0.50   93256     384   93064  3526531  37.82
  2000          32      0.00435  0.00434  0.50   92872     403   92670  3433467  36.97
  2000          33      0.00456  0.00455  0.50   92468     421   92258  3340797  36.13
  2000          34      0.00472  0.00471  0.50   92048     433   91831  3248539  35.29
  2000          35      0.00517  0.00515  0.50   91614     472   91378  3156708  34.46
  2000          36      0.00524  0.00523  0.50   91142     477   90904  3065330  33.63
  2000          37      0.00560  0.00559  0.50   90666     506   90412  2974426  32.81
  2000          38      0.00596  0.00594  0.50   90159     535   89891  2884014  31.99
  2000          39      0.00634  0.00632  0.50   89624     567   89340  2794122  31.18
  2000          40      0.00731  0.00728  0.50   89057     649   88733  2704782  30.37
  2000          41      0.00738  0.00735  0.50   88408     650   88083  2616049  29.59
  2000          42      0.00777  0.00774  0.50   87758     679   87419  2527966  28.81
  2000          43      0.00829  0.00826  0.50   87079     719   86719  2440547  28.03
  2000          44      0.00864  0.00860  0.50   86360     743   85988  2353828  27.26
  2000          45      0.01031  0.01026  0.50   85617     878   85178  2267840  26.49
  2000          46      0.01037  0.01032  0.50   84738     874   84301  2182662  25.76
  2000          47      0.01092  0.01086  0.50   83864     911   83409  2098361  25.02
  2000          48      0.01197  0.01190  0.50   82953     987   82460  2014952  24.29
  2000          49      0.01239  0.01231  0.50   81966    1009   81462  1932492  23.58
  2000          50      0.01446  0.01435  0.50   80957    1162   80376  1851031  22.86
  2000          51      0.01529  0.01518  0.50   79795    1211   79189  1770655  22.19
  2000          52      0.01421  0.01411  0.50   78584    1109   78029  1691465  21.52
  2000          53      0.01736  0.01721  0.50   77475    1333   76808  1613436  20.83
  2000          54      0.01621  0.01608  0.50   76142    1224   75530  1536627  20.18
  2000          55      0.01958  0.01939  0.50   74917    1452   74191  1461098  19.50
  2000          56      0.01962  0.01943  0.50   73465    1427   72751  1386906  18.88
  2000          57      0.01820  0.01804  0.50   72038    1299   71388  1314155  18.24
  2000          58      0.02303  0.02277  0.50   70739    1610   69933  1242767  17.57
  2000          59      0.02209  0.02185  0.50   69128    1511   68373  1172833  16.97
  2000          60      0.02498  0.02468  0.50   67617    1669   66783  1104461  16.33
  2000          61      0.02698  0.02662  0.50   65949    1756   65071  1037677  15.73
  2000          62      0.02660  0.02625  0.50   64193    1685   63351   972606  15.15
  2000          63      0.02952  0.02909  0.50   62508    1819   61599   909256  14.55
  2000          64      0.03133  0.03084  0.50   60690    1872   59754   847657  13.97
  2000          65      0.03439  0.03381  0.50   58818    1989   57823   787903  13.40
  2000          66      0.03526  0.03464  0.50   56829    1969   55845   730080  12.85
  2000          67      0.03783  0.03713  0.50   54860    2037   53842   674235  12.29
  2000          68      0.04121  0.04038  0.50   52823    2133   51757   620393  11.74
  2000          69      0.04374  0.04280  0.50   50690    2170   49606   568636  11.22
  2000          70      0.04779  0.04667  0.50   48521    2265   47388   519031  10.70
  2000          71      0.05098  0.04972  0.50   46256    2300   45106   471642  10.20
  2000          72      0.05583  0.05432  0.50   43956    2388   42763   426536   9.70
  2000          73      0.05833  0.05668  0.50   41569    2356   40391   383773   9.23
