Year;Age;nDx;nEx
1960;0;22484,00;807420,00
1960;1;3794,00;3196773,87
1960;5;1584,00;4006294,31
1960;10;1366,00;4039899,91
1960;15;1993,00;2768383,58
1960;20;2862,00;2891428,05
1960;25;4044,00;3197786,74
1960;30;5344,00;3262549,67
1960;35;7435,00;3300251,40
1960;40;6288,00;1946333,63
1960;45;15055,00;2873833,21
1960;50;24605,00;2926960,33
1960;55;35277,00;2792436,66
1960;60;44098,00;2357120,34
1960;65;51280,00;1840583,04
1960;70;67695,00;1499882,87
1960;75;80580,00;1066942,25
1960;80;78036,00;619259,12
1960;85;48009,00;238441,16
1960;90;19131,00;60021,59
