age,nMx_mean,nMx_l95,nMx_u95,nax_mean,nax_l95,nax_u95,nqx_mean,nqx_l95,nqx_u95,npx_mean,npx_l95,npx_u95,ndx_mean,ndx_l95,ndx_u95,lx_mean,lx_l95,lx_u95,nLx_mean,nLx_l95,nLx_u95,Tx_mean,Tx_l95,Tx_u95,ex_mean,ex_l95,ex_u95
0,0.0237725571806634,0.017768263269945,0.0304693479991363,0.14,0.139999999999998,0.140000000000003,0.0232865829612285,0.0175008379507534,0.0296913271451421,0.976713417038772,0.970308672854858,0.982499162049247,0.0232865829612285,0.0175008379507534,0.0296913271451421,1,1,1,0.979973538653344,0.974465458655178,0.984949279362352,70.4390008204745,69.3976394286802,71.4481201142023,70.4390008204745,69.3976394286802,71.4481201142023
1,0.00179897970833122,0.00149110646938303,0.00215246237391389,1.09752874840271,1.03961952519761,1.16128817696466,0.00715819226169519,0.00593874677210784,0.00855648168366594,0.992841807738305,0.991443518316334,0.994061253227892,0.0069899722799082,0.00581956360814032,0.00833399148234804,0.976713417038772,0.970308672854858,0.982499162049247,3.88656372344148,3.85787826128844,3.91216946874372,69.4590272818212,68.4215714208292,70.4678023327974,71.1149804104608,70.1791063886604,71.9749834788257
5,0.000375568850883343,0.00031245532755238,0.000450515690872263,2.41986195118026,2.36606462991173,2.4704213786978,0.00187600812095553,0.00156101952753086,0.00224995789019172,0.998123991879045,0.997750042109808,0.998438980472469,0.00181919071346839,0.00150929094483411,0.00218215470710179,0.969723444758863,0.962469020900128,0.976225104290163,4.84392217302294,4.80770814577459,4.8766427477133,65.5724635583797,64.571456262751,66.5790781807015,67.6197898348029,66.668966973016,68.5082157746656
10,0.000302608382373335,0.000252829126196978,0.000357874010649523,2.71791486683088,2.66168118685666,2.77294774769081,0.00151198865827826,0.00126342660646875,0.00178792814040112,0.998488011341722,0.998212071859599,0.998736573393531,0.00146353669674478,0.00121808625135733,0.00173703164730433,0.967904254045395,0.96069392952446,0.974491312458786,4.8361805041287,4.80035091270309,4.86907545441238,60.7285413853568,59.7651612177064,61.7220680907152,62.7423321256076,61.7911796039706,63.6318198492473
15,0.000865206038091017,0.000728024805133705,0.00102180198563942,2.81605743053066,2.7717059727314,2.86014572147906,0.00431781173543148,0.00363426860760757,0.00509759110776706,0.995682188264569,0.994902408892233,0.996365731392392,0.00417279871567953,0.00351418176299017,0.00491864732967915,0.96644071734865,0.959310205029511,0.973002744029701,4.82309150276853,4.78709414367517,4.85607357124307,55.8923608812281,54.9338529062796,56.8695695754717,57.8332225035382,56.883406155474,58.7202039030369
20,0.00126250389759036,0.00105967239292247,0.00149161925982578,2.55107457298602,2.50943375609229,2.59371276553398,0.00629291574563269,0.00528472701985575,0.00743077999054284,0.993707084254367,0.992569220009457,0.994715272980144,0.00605510905868069,0.00510227203598847,0.00712973145166886,0.962267918632971,0.955049556778682,0.969041444446057,4.7965101071586,4.7591468534493,4.8313092387987,51.0692693784595,50.1011586862436,52.0177189379801,53.0717985663082,52.121777285699,53.9622156491037
25,0.00126870425989131,0.00106152419095751,0.00147827056533435,2.5256985925542,2.48351532762421,2.56496471551158,0.00632353233301342,0.0052937208176184,0.00736429472763455,0.993676467666987,0.992635705272366,0.994706279182382,0.00604632170039405,0.00507938442314257,0.00704984507966237,0.95621280957429,0.948677527962301,0.963423236046711,4.76610364214282,4.72896471071441,4.80295912493251,46.2727592713009,45.3156219765608,47.1932879869966,48.3917320150131,47.4399060619128,49.3170271394546
30,0.00156747135653598,0.00134239410693075,0.00182613466163138,2.57307074844973,2.53591039147565,2.61129258338366,0.00780745981630335,0.00669031504054652,0.00909039393381892,0.992192540183697,0.990909606066181,0.993309684959453,0.00741803524919177,0.00636032291105036,0.00861681958483951,0.950166487873896,0.942694906123654,0.957630839112252,4.73282825768435,4.69504900941353,4.77041616407092,41.5066556291581,40.5597508420639,42.432395304135,43.6836059022352,42.7200920351634,44.6170004305833
35,0.00215060140892625,0.00183240176626913,0.0024746397865434,2.68561784593502,2.64453061410624,2.72269423618608,0.0106994371368104,0.00912338669482931,0.0123024666484994,0.98930056286319,0.987697533351501,0.990876613305171,0.010086439955608,0.00861989978131424,0.0115948009443117,0.942748452624704,0.93513693370553,0.950443593916462,4.69039778780162,4.65246856937196,4.72866938955938,36.7738273714738,35.835250375435,37.672687513389,39.0070873688508,38.017983861754,39.9629612769502
40,0.00323786818010894,0.00280318288132653,0.00374820281011038,2.65748934857127,2.61592948036773,2.69417343712845,0.0160667742056088,0.0139244907768347,0.0185781266822837,0.983933225794391,0.981421873317716,0.986075509223165,0.0149839386098812,0.0130334922845495,0.0173244711235484,0.932662012669096,0.924866604946795,0.940375667656719,4.62821030564912,4.58687795126953,4.6683708391151,32.0834295836721,31.1537268992438,32.9605302878561,34.3998749062788,33.4118836474037,35.3510050567511
