sex,x,log_mx_std
Male,0.2,-5.47202565962586
Male,1.5,-6.91160229214853
Male,2.5,-7.84143345986509
Male,3.5,-8.49608039019133
Male,4.5,-8.83897490761077
Male,5.5,-8.92368320113616
Male,6.5,-8.86616433394549
Male,7.5,-8.79027438766294
Male,8.5,-8.7751517167573
Male,9.5,-8.8288855050465
Male,10.5,-8.89790349590247
Male,11.5,-8.90362564473856
Male,12.5,-8.785930403141
Male,13.5,-8.53213524918354
Male,14.5,-8.17979343776075
Male,15.5,-7.79578682607246
Male,16.5,-7.44535022272296
Male,17.5,-7.16752527421095
Male,18.5,-6.96767908523036
Male,19.5,-6.82728632588222
Male,20.5,-6.72223638832859
Male,21.5,-6.63803970263193
Male,22.5,-6.57420328144691
Male,23.5,-6.53765005975336
Male,24.5,-6.53159354080023
Male,25.5,-6.54812625802997
Male,26.5,-6.56940793367368
Male,27.5,-6.57631406276204
Male,28.5,-6.55861674505308
Male,29.5,-6.5200333268082
Male,30.5,-6.47495843131968
Male,31.5,-6.43899771228837
Male,32.5,-6.41919788794475
Male,33.5,-6.40987972059185
Male,34.5,-6.3963854368301
Male,35.5,-6.36418270437891
Male,36.5,-6.30762408652235
Male,37.5,-6.23307637069568
Male,38.5,-6.15472184744679
Male,39.5,-6.08581289301592
Male,40.5,-6.03080348558564
Male,41.5,-5.98306549010737
Male,42.5,-5.92937637466913
Male,43.5,-5.85825503886764
Male,44.5,-5.76701272210422
Male,45.5,-5.66333522673381
Male,46.5,-5.56063880722576
Male,47.5,-5.47020068292983
Male,48.5,-5.39488803616047
Male,49.5,-5.32817026924066
Male,50.5,-5.25878706563365
Male,51.5,-5.17802739225179
Male,52.5,-5.08511282453289
Male,53.5,-4.98748695106467
Male,54.5,-4.89600995141372
Male,55.5,-4.81815215768874
Male,56.5,-4.75340553422451
Male,57.5,-4.69366669552351
Male,58.5,-4.62825114480714
Male,59.5,-4.55039306858778
Male,60.5,-4.46125642160296
Male,61.5,-4.3690785791435
Male,62.5,-4.28405971568436
Male,63.5,-4.2121578288422
Male,64.5,-4.15152889987851
Male,65.5,-4.09366953858644
Male,66.5,-4.02845092004911
Male,67.5,-3.94993571704465
Male,68.5,-3.85950571981345
Male,69.5,-3.76455414715838
Male,70.5,-3.6737079968283
Male,71.5,-3.59157951503553
Male,72.5,-3.51620223168733
Male,73.5,-3.44055874288905
Male,74.5,-3.35707881086286
Male,75.5,-3.26223600592199
Male,76.5,-3.1584334250529
Male,77.5,-3.05214261045484
Male,78.5,-2.94960421241835
Male,79.5,-2.85286068683465
Male,80.5,-2.75859985306705
Male,81.5,-2.66047160999974
Male,82.5,-2.55335651191764
Male,83.5,-2.43686945436692
Male,84.5,-2.31589180994856
Male,85.5,-2.19779548755855
Male,86.5,-2.08807880238944
Male,87.5,-1.98711029777871
Male,88.5,-1.88998961943085
Male,89.5,-1.78962650393448
Male,90.5,-1.68118744448898
Male,91.5,-1.56524654236423
Male,92.5,-1.44777240531835
Male,93.5,-1.33697780664362
Male,94.5,-1.23889783577102
Male,95.5,-1.15425697752878
Male,96.5,-1.07836483794176
